epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04359,1.27722,2.81177,1.4825,0.69825,0.36609,0.48251,0.31327,1.33536,2.94769,1.62416,0.000360838,0.000360838,0.000360838
2,14.5532,1.29322,1.95225,1.48826,0.55702,0.51365,0.50629,0.28993,1.38214,2.38389,1.71623,0.000716694,0.000716694,0.000716694
3,20.0186,1.29948,1.71829,1.45658,0.65016,0.5119,0.58515,0.34978,1.4196,2.43144,1.792,0.00105788,0.00105788,0.00105788
4,25.5413,1.27147,1.61952,1.42018,0.57055,0.63822,0.61116,0.36532,1.44788,2.09427,1.76689,0.00104501,0.00104501,0.00104501
5,31.128,1.22062,1.53662,1.40172,0.74851,0.6671,0.69681,0.43197,1.35568,1.85034,1.69784,0.00102301,0.00102301,0.00102301
6,36.6731,1.207,1.46568,1.38437,0.70386,0.63247,0.66403,0.39167,1.38502,1.79257,1.62131,0.00100101,0.00100101,0.00100101
7,42.4058,1.15682,1.39645,1.35843,0.7448,0.68391,0.72141,0.44754,1.30603,1.68399,1.53866,0.000979013,0.000979013,0.000979013
8,48.0519,1.15747,1.38006,1.34264,0.66884,0.68592,0.66072,0.3888,1.33433,1.82601,1.56111,0.000957015,0.000957015,0.000957015
9,53.9268,1.19076,1.36873,1.35631,0.71009,0.6796,0.71987,0.43868,1.34918,1.51805,1.55635,0.000935018,0.000935018,0.000935018
10,59.6159,1.14785,1.30593,1.34541,0.74784,0.73669,0.75371,0.44478,1.37494,1.45784,1.60501,0.00091302,0.00091302,0.00091302
11,65.2845,1.12432,1.26099,1.32899,0.68737,0.70147,0.74089,0.42534,1.3645,1.51662,1.57986,0.000891022,0.000891022,0.000891022
12,70.5174,1.14686,1.24219,1.31417,0.79557,0.67033,0.73447,0.46136,1.32519,1.51352,1.55821,0.000869024,0.000869024,0.000869024
13,75.9876,1.09716,1.20158,1.30367,0.78447,0.70318,0.75399,0.46095,1.30925,1.39965,1.53511,0.000847026,0.000847026,0.000847026
14,81.6491,1.08997,1.1679,1.2858,0.7782,0.69957,0.75644,0.47475,1.21269,1.35679,1.46848,0.000825029,0.000825029,0.000825029
15,87.2525,1.0822,1.15972,1.30863,0.78327,0.7046,0.75395,0.46818,1.29356,1.32392,1.55289,0.000803031,0.000803031,0.000803031
16,92.5012,1.07066,1.14884,1.29811,0.84332,0.67785,0.77981,0.48099,1.25835,1.31771,1.48568,0.000781033,0.000781033,0.000781033
17,97.6812,1.04553,1.10204,1.26841,0.79171,0.7054,0.75836,0.49742,1.26173,1.31362,1.49554,0.000759035,0.000759035,0.000759035
18,102.906,1.03909,1.07411,1.26538,0.8013,0.65805,0.73183,0.4837,1.22784,1.2734,1.47313,0.000737037,0.000737037,0.000737037
19,108.212,1.02851,1.0734,1.26676,0.83864,0.71923,0.78181,0.50249,1.23422,1.22415,1.4725,0.00071504,0.00071504,0.00071504
20,113.5,1.00413,1.02168,1.24245,0.82337,0.71444,0.76839,0.49598,1.22443,1.22894,1.45887,0.000693042,0.000693042,0.000693042
