epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.098,1.27596,2.09596,1.5792,0.66555,0.14397,0.35406,0.19377,1.58899,24.5259,2.77527,0.000360838,0.000360838,0.000360838
2,289.349,1.47088,1.66113,1.70071,0.01447,0.3204,0.01204,0.00474,2.06971,804.363,5.21141,0.000716694,0.000716694,0.000716694
3,439.358,1.51816,1.59846,1.67779,0.18575,0.42514,0.1264,0.04887,2.52337,1617.16,7.25929,0.00105788,0.00105788,0.00105788
4,505.175,1.39418,1.49685,1.58677,0.36968,0.69255,0.55772,0.25953,1.5357,8.10073,2.40384,0.00104501,0.00104501,0.00104501
5,630.509,1.33588,1.36006,1.56251,0.46252,0.51925,0.40059,0.20152,1.79247,4.36339,3.08657,0.00102301,0.00102301,0.00102301
6,757.14,1.29976,1.27608,1.50811,0.6483,0.52241,0.55719,0.34337,1.49201,6.51872,2.03754,0.00100101,0.00100101,0.00100101
7,887.723,1.23706,1.24437,1.50436,0.62145,0.61451,0.61265,0.37077,1.44703,2.32474,1.83281,0.000979013,0.000979013,0.000979013
8,978.125,1.20505,1.19082,1.45157,0.65621,0.66695,0.71501,0.41026,1.42015,1.59395,1.85622,0.000957015,0.000957015,0.000957015
9,1127.57,1.22781,1.14757,1.46811,0.65291,0.7477,0.71508,0.45545,1.40027,1.63469,1.74918,0.000935018,0.000935018,0.000935018
10,1298.5,1.14735,1.08871,1.40571,0.6526,0.70896,0.71621,0.42211,1.48479,1.63943,1.84703,0.00091302,0.00091302,0.00091302
11,1535.63,1.1207,1.02717,1.38829,0.71401,0.77802,0.7665,0.46945,1.32098,1.22831,1.58728,0.000891022,0.000891022,0.000891022
12,2064.29,1.12882,1.05113,1.39628,0.76893,0.72307,0.77056,0.50341,1.24487,1.20212,1.58156,0.000869024,0.000869024,0.000869024
13,2242.8,1.09675,1.00001,1.37694,0.7678,0.7436,0.77787,0.50711,1.25107,1.05444,1.52912,0.000847026,0.000847026,0.000847026
14,2642.05,1.07721,0.98307,1.35499,0.72011,0.74267,0.77499,0.5225,1.19507,1.132,1.5233,0.000825029,0.000825029,0.000825029
15,2755.33,1.0501,0.97231,1.35116,0.67687,0.72855,0.73649,0.50048,1.17784,1.19857,1.52738,0.000803031,0.000803031,0.000803031
16,2859.68,1.01464,0.93322,1.32001,0.80955,0.73481,0.79838,0.5359,1.16945,1.01075,1.45934,0.000781033,0.000781033,0.000781033
17,3032.34,1.00854,0.91355,1.2909,0.73587,0.76006,0.77248,0.51293,1.17581,1.06696,1.4595,0.000759035,0.000759035,0.000759035
18,3232.2,1.00947,0.87747,1.30656,0.82666,0.73434,0.79566,0.51782,1.27944,1.06654,1.58646,0.000737037,0.000737037,0.000737037
19,3370.65,0.98589,0.87257,1.30338,0.72784,0.75589,0.79435,0.52851,1.16987,0.9965,1.45492,0.00071504,0.00071504,0.00071504
20,3471.59,0.94677,0.83787,1.27755,0.83432,0.72529,0.77668,0.51132,1.22189,0.98269,1.48287,0.000693042,0.000693042,0.000693042
21,3630.25,0.91112,0.7952,1.26615,0.78801,0.78583,0.82849,0.563,1.11638,0.89751,1.40684,0.000671044,0.000671044,0.000671044
